cas_number,agent,iarc_group,year
50-00-0,Formaldehyde,1,2012
50-06-6,Phenobarbital,2B,2001
50-07-7,Mitomycin C,2B,1987
50-29-3,"DDT (4,4'-dichlorodiphenyltrichloroethane)",2A,2018
50-32-8,Benzo[a]pyrene,1,2012
50-33-9,Phenylbutazone,3,1987
50-41-9,Clomiphene citrate,3,1987
50-44-2,6-Mercaptopurine,3,1987
50-55-5,Reserpine,3,1987
50-76-0,Actinomycin D,3,1987
51-02-5,Pronetalol hydrochloride,3,1987
51-03-6,Piperonyl butoxide,3,1987
51-18-3,"2,4,6-Tris(1-aziridinyl)-s-triazine",3,1987
51-21-8,5-Fluorouracil,3,1987
51-52-5,Propylthiouracil,2B,2001
51-75-2,Nitrogen mustard,2A,1987
51-79-6,Ethyl carbamate (Urethane),2A,2010
52-01-7,Spironolactone,3,2001
52-24-4,Thiotepa,1,2012
52-46-0,Apholate,3,1987
52-68-6,Trichlorfon,3,1987
53-03-2,Prednisone,3,1987
53-70-3,"Dibenz[a,h]anthracene",2A,2010
54-05-7,Chloroquine,3,1987
54-31-9,Furosemide (Frusemide),3,1990
54-85-3,Isonicotinic acid hydrazide (Isoniazid),3,1987
55-18-5,N-Nitrosodiethylamine,2A,1987
55-98-1,Busulfan,1,2012
56-04-2,Methylthiouracil,2B,2001
56-23-5,Carbon tetrachloride,2B,1999
56-25-7,Cantharidin,3,1987
56-38-2,Parathion,2B,2017
56-53-1,Diethylstilbestrol,1,2012
56-55-3,Benz[a]anthracene,2B,2010
56-75-7,Chloramphenicol,2A,1990
57-06-7,Allyl isothiocyanate,3,1999
57-14-7,"1,1-Dimethylhydrazine",2B,1999
57-39-6,Tris(2-methyl-1-aziridinyl)phosphine oxide,3,1987
57-41-0,Phenytoin,2B,1996
57-57-8,beta-Propiolactone,2B,1999
57-68-1,Sulfamethazine,3,2001
57-74-9,Chlordane,2B,2001
57-88-5,Cholesterol,3,1987
58-08-2,Caffeine,3,1991
58-14-0,Pyrimethamine,3,1987
58-55-9,Theophylline,3,1991
58-89-9,Lindane (see also Hexachlorocyclohexanes),1,2018
58-93-5,Hydrochlorothiazide,2B,2016
59-05-2,Methotrexate,3,1987
59-87-0,Nitrofural (Nitrofurazone),3,1990
59-89-2,N-Nitrosomorpholine,2B,1987
60-09-3,para-Aminoazobenzene,2B,1987
60-11-7,para-Dimethylaminoazobenzene,2B,1987
60-35-5,Acetamide,2B,1999
60-56-0,Methimazole,3,2001
60-57-1,", 309-00-2Dieldrin, and aldrin metabolized to dieldrin",2A,
61-57-4,Niridazole,2B,1987
61-82-5,Amitrole,3,2001
62-44-2,Phenacetin,1,2012
62-50-0,Ethyl methanesulfonate,2B,1987
62-53-3,Aniline,3,1987
62-55-5,Thioacetamide,2B,1987
62-56-6,Thiourea,3,2001
62-73-7,Dichlorvos,2B,1991
62-75-9,N-Nitrosodimethylamine,2A,1987
63-25-2,Carbaryl,3,1987
63-92-3,Phenoxybenzamine hydrochloride,2B,1987
64-17-5,Ethanol in alcoholic beverages,1,2012
64-67-5,Diethyl sulfate,2A,1999
66-27-3,Methyl methanesulfonate,2A,1999
66-75-1,Uracil mustard,2B,1987
67-20-9,Nitrofurantoin,3,1990
67-45-8,Furazolidone,3,1987
67-63-0,Isopropyl alcohol,3,1999
67-66-3,Chloroform,2B,1999
67-72-1,Hexachloroethane,2B,1999
68-12-2,"N,N-Dimethylformamide",2A,2018
68-76-8,Tris(aziridinyl)-para-benzoquinone (Triaziquone),3,1987
69-53-4,Ampicillin,3,1990
70-25-7,N-Methyl-N´-nitro-N-nitrosoguanidine (MNNG),2A,1987
70-30-4,Hexachlorophene,3,1987
71-43-2,Benzene,1,
71-55-6,"1,1,1-Trichloroethane",3,1999
